Constituency,Candidates,Sign,Party,Votes
PS-01,Sher Muhammad Mugheri,Arrow (12),PPP,48385
PS-01,Abdul Razzaque Khan,Charpai (56),IND,18115
PS-01,Mir Raja Khan Jakhrani,Clock (60),IND-PTI,4767
PS-01,Jan Muhammad,Crane (71),TLP,1365
PS-01,Deedar Ali Lashari,Scale (232),JIP,1236
PS-01,Bibi Asiya,Book (31),JUIF,451
PS-01,Asif Ali,Table (271),IND,393
PS-01,Muhammad Ayoub Solangi,Tooth Brush (287),IND,252
PS-01,Koura Khan,Wrench (329),IND,217
PS-01,Abdullah,Bed (23),IND,162
PS-01,Mir Asghar Ali Panhwar,Screw (236),IND,121
PS-01,Ghazanfar Ali Soomro,Door (87),IND,100
PS-01,Muhammad Usman,Bottle (32),IND,82
PS-01,Tahir Ali,Swallow (267),IND,79
PS-01,Mumtaz Khatoon,Queen (211),IND,72
PS-01,Zubeda Begum,Peacock (194),IND,62
PS-01,Raz Muhammad,Cricket Stumps (73),IND,57
PS-01,Muhammad Shahban,Wheel Chair (325),IND,49
PS-01,Munawar Ali,Kite (159),MQM-P,40
PS-01,Abdul Khalique,Laptop (163),IND,38
PS-01,Hafiz Mehrab,Radio (215),IND,35
PS-01,Jan Muhammad Mirbahar,Dolphin (85),IND,34
PS-01,Liaqat Ali Khoso,Transformer (294),IND,28
PS-01,Ghulam Mustafa,Goat (123),IND,27
PS-01,Rashid Ali,Alphabet 'A' (5),IND,21
PS-01,Muhammad Hanif,Parrot (193),IND,17
PS-02,Sohrab Khan Sarki,Arrow (12),PPP,53298
PS-02,Shafique Ahmed Khoso,Book (31),JUIF,47662
PS-02,Abdul hafeez Bijarani,Scale (232),JIP,853
PS-02,Riaz Ahmed,Crane (71),TLP,806
PS-02,Roshan ud Din,Charpai (56),IND,762
PS-02,Shah Jahan,Battery (21),IND,679
PS-02,Saleem Khan Buriro,Match Box (172),IND,432
PS-02,Saddam Hussain,Mobile Charger (176),IND-PTI,295
PS-02,Muhammad Khan Khoso,Mobile Charger (176),IND,159
PS-02,Muhammad Mohsin Khan Sarki,Tooth Brush (287),IND,139
PS-02,Ahmed Ali,Slate (248),IND,112
PS-02,Zohaib Zulfiqar Sarki,Aeroplane (2),IND,106
PS-02,Saleem Saif,Brick (35),IND,103
PS-02,Uroosa,Rabab (212),PPP-SB,66
PS-02,Adil Usman,Brush (38),IND,40
PS-02,Moula Bux,Dolphin (85),IND,36
PS-02,Sikandar Ali,Racket (214),IND,32
PS-02,Manzoor Ahmed,Peacock (194),IND,31
PS-02,Nawab Ali,Hand Pump (130),IND,25
PS-03,Mir Mumtaz Hussain Jakhrani,Charpai (56),IND,39600
PS-03,Mir Aurang Zaib Panhwar,Arrow (12),PPP,31587
PS-03,Arbab Khan,Crane (71),TLP,1032
PS-03,Shoaib Ahmed,Bench (26),IND,764
PS-03,Muhammad Noor,Axe (14),BNP,485
PS-03,Inayatullah,Scale (232),JIP,345
PS-03,Shafqat Hussain Jakhrani,Rabab (212),IND,270
PS-03,Maula Buksh Soomro,Screw Driver (237),IND,247
PS-03,Mir Shujaullah Panhwar,Screw (236),IND,195
PS-03,Irfan Ali,Racket (214),IND-PTI,189
PS-03,Suleman Khan,Match Box (172),IND,151
PS-03,Khan Muhammad Alias Gulzar Ahmed,Guitar (127),IND,114
PS-03,Liaqat Ali,Cage (45),IND,68
PS-03,Muhammad Farooque,Laptop (163),IND,64
PS-03,Iqbal Hussain,Peacock (194),IND,61
PS-04,Haji Abdul Rauf Khoso,Arrow (12),PPP,58046
PS-04,Mir Ghalib Hussain Khan,Study Table with Chair (263),IND,25758
PS-04,Manzoor Ahmed Khoso,Peacock (194),IND,3289
PS-04,Abdul Wahid Khoso,iron Stand (148},IND,622
PS-04,Wazir Ali,Scale (232),JIP,402
PS-04,Muhammad Akram,Fork (109),IND,318
PS-04,Ghulam Asghar Khan Chachar,Tooth Brush (287),IND,307
PS-04,Fida Hussain,Star (259),GDA,250
PS-04,Nazir Hussain,Crane (71),TLP,198
PS-04,Parvaiz Ahmed,Slate (248),IND,194
PS-04,Khalid Hussain,Deep Freezer (79),IND,159
PS-04,Begum Khatoon,Bulb (40),AWP,130
PS-04,Meer Khan,Coconut (62},IND,106
PS-04,Fazal Rehman,Trolley (297),IND,96
PS-04,Imtiaz Hussain Soomro,Charpai (56),IND,83
PS-04,Abdul Baqi,Rabab (212),IND,59
PS-04,Israr Ahmed,Dressing Table (89),IND,59
PS-04,Mir Hassan,Computer (167),IND,50
PS-04,Toheed Khan,Round Table (227},IND,46
PS-04,Bilawal Ali,Dolphin (85),IND,13
PS-04,Shah Ali Khan alias Shehak,Bottle (32),IND,8
PS-04,Muhammad Hanif,Lotus (168),IND,6
PS-05,Sardar Ghulam Abid,Arrow (12),PPP,31132
PS-05,Rabnawaz,Book (31),JUIF,21052
PS-05,Sardar Tegho Khan,Tiger (284),PML-N,10760
PS-05,Jamsher Ogahi,Fork (109),IND,581
PS-05,Shabir Ahmed,Bottle (32),PTI-N,517
PS-05,Ghulam Mustafa,Scale (232),JIP,475
PS-05,Imran Khan,Laptop (163),IND,456
PS-05,Alif Khan,Crane (71),TLP,263
PS-05,Jahan Khan,Suitcase (264),IND,232
PS-05,Sher Muhammad,Match Box (172),IND,225
PS-05,Ghulam Asghar Khan Chachar,Tooth Brush (287),IND,189
PS-05,Shafqat Hussain,Slate (248),IND,123
PS-05,Abdul Nabi,Table (271),IND,82
PS-05,Ahmed Raza,Brick (35),IND,59
PS-05,Abdul Azziz Samejo,Fridge (113),IND,27
PS-05,Naveed Ali,Computer (67),IND,24
PS-06,Mehboob Ali Khan Bijarani,Arrow (12),PPP,86365
PS-06,Abdul Qayoom,Book (31),JUIF,9945
PS-06,Abdul Nabi,Tiger (284),PML-N,2526
PS-06,Abdul Jabbar,Scale (232),JIP,753
PS-06,Sheraz Ali Bijarani,Suitcase (264),IND,638
PS-06,Kifayatullah,Fork (109),IND,342
PS-06,Imran Khan,Laptop (163),IND,192
PS-06,Zaryab Ali Bijarani,Slate (248),IND,187
PS-06,Irshad Ali,Crane (71),TLP,153
PS-06,Iltaf Hussain Khoso,Brick (35),IND,70
PS-06,Sardar Imranullah Sarki,Dolphin (85),IND,60
PS-06,Muhammad Sallah,Rabab (212),IND,38
PS-07,Imtiaz Ahmed Shaikh,Arrow (12),PPP,60354
PS-07,Agha Taimor Khan,Book (31),JUIF,44480
PS-07,Asghar Ali,Tent (282),MWM,2729
PS-07,Agha Shamas Ud Din Khan,Tooth Brush (287),IND,1852
PS-07,Abdul Qadir,Scale (232),JIP,1020
PS-07,Faraz Shaikh,Suitcase (264),IND,927
PS-07,Shafqat Ali,Electric Heater (94),IND,716
PS-07,Jameel Ahmed,Charpai (56),IND,271
PS-07,Tanweer Ahmed,Radio (215),IND,247
PS-07,Agha Shafqatullah,Fist (105),PPP-SB,172
PS-07,Shahid Ali,Key with Lock (156),IND,131
PS-08,Muhammad Arif Khan Mahar,Arrow (12),PPP,64016
PS-08,Abid Hussain Jatoi,Book (31),JUIF,51869
PS-08,Naeem Ahmed Khan Jatoi,Fork (109),IND,678
PS-08,Ameer Ali Jatoi,Tooth Brush (287),IND,461
PS-08,Ghous Bux Khan Mahar,Charpai (56),IND,400
PS-08,Shahida Parveen,Scale (232),JIP,397
PS-09,Agha Siraj Khan Durrani,Arrow (12),PPP,63760
PS-09,Rushdullah Shah,Book (31),JUIF,25634
PS-09,Chakar Khan,Crane (71),TLP,2697
PS-09,Muhammad Umar,Tiger (284),PML-N,2422
PS-09,Sarfaraz Ahmed,Scale (232),JIP,2224
PS-09,Barkat Ali,Radio (215),IND,541
PS-09,Israr Ahmed,Goat (123),IND,372
PS-09,Agha Mir Mustafa Khan Durani,Table (271),IND,262
PS-09,Muhammad Bux,Peacock (194),IND,217
PS-09,Abdul Waheed,Charpai (56),IND,182
PS-10,Faryal Talpur,Arrow (12),PPP,85917
PS-10,Kifayatullah,Book (31),JUIF,18475
PS-10,Muhammad Arshad Bhutto,Crane (71),TLP,3552
PS-10,Muhammad Bachal,Peacock (194),IND-PTI,1262
PS-10,Shahid Mian Bhutto,Fist (105),PPP-SB,1065
PS-10,Abbas Ali,Scale (232),JIP,940
PS-10,Asadullah,Match Box (172),IND,695
PS-10,Ghulam Mustafa Laghari,Suitcase (264),IND,641
PS-10,Muhammad Ali Abro,Kettle (153),IND,429
PS-10,Nadir Hussain,Iron (147),PRP,104
PS-100,Syed Muhammad Usman,Kite (159),MQM-P,21970
PS-100,Haider Ali Umrani,Arrow (12),PPP,15241
PS-100,Naeem Akhtar,Scale (232),JIP,12336
PS-100,Syed Muhammad Taha,HUMAN EYE انسانی انکھ,IND-PTI,8250
PS-100,Muhammad Shahnawaz,Crane (71),TLP,2094
PS-100,Sarwat Jawahir,Tiger (284),PML-N,1018
PS-100,Mehboob Ali,Tent (282),MML,629
PS-100,Aleem Adil Sheikh,,IND,564
PS-100,Mitha Khan,,IND,411
PS-100,Sajid Hussain,,IND,404
PS-100,Khuwaja Moin Hussain Siddiqui,Star (259),GDA,374
PS-100,Naveed Khursheed,,IND,322
PS-100,Muhammad Anwar Jabbar,,IND,292
PS-100,Muhammad Zubair,,IND,282
PS-100,Imran Shahzad,Eagle (93),IPP,274
PS-100,Noor Muhammad Khan,,IND,256
PS-100,Muhammad Asghar,,IND,254
PS-100,Muhammad Azhar Shafique Usmani,Candle (50),MQM,244
PS-100,Imran Bashir,,IND,230
PS-100,Abdul Sadiq Khan,,IND,226
PS-100,Muhammad Azhar Abbasi,,IND,221
PS-100,Rao Muhammad Irfan,,IND,208
PS-100,Khalid,,IND,205
PS-100,Kamran Khan Malik,,IND,199
PS-100,Saqib Ali,,IND,197
PS-100,Naveed Alam Siddiqui,,IND,190
PS-100,Jamal Nasir,,IND,178
PS-100,Izhar Ahmed,,IND,155
PS-100,Virda Farooq,,IND,150
PS-100,Daud Ahmed Fakhri,,PCP,143
PS-100,Waqas Ahmed,,IND,139
PS-100,Adeel Azam,,IND,138
PS-100,Agha Arsallan Khan,,IND,138
PS-100,Abdul Majeed,Iron (147),PRP,136
PS-100,Shakeel Ahmed,,IND,136
PS-100,Willayat Hussain,,IND,117
PS-100,Muhammad Shafiq,,IND,116
PS-100,Rehan Zafar Ahmed Ghori,,IND,113
PS-100,Obaid Ullah Khan,,IND,111
PS-100,Ghulam Habib Afridi,,IND,104
PS-100,Nadir Latif Khilji,,IND,97
PS-100,Muhammad Sohail,Lantern (162),ANP,93
PS-100,Syed Muhammad Umer Ferozi,,IND,71
PS-101,Moid Anver,Kite (159),MQM-P,43080
PS-101,Agha Arsalan Khan,BADGE بیج,IND-PTI,34745
PS-101,Syed Qutub Ahmed,Scale (232),JIP,23585
PS-101,Imran Ali Mithani,Arrow (12),PPP,9631
PS-101,Muhammad Farooq Noorani,Crane (71),TLP,2387
PS-101,Mehmood Ahmed,Iron (147),PRP,1703
PS-101,Sobia Kiran,Tiger (284),PML-N,1603
PS-101,Muhammad Mujtaba,,IND,537
PS-101,Ata Ul Mustafa Jameel Rathore,,IND,376
PS-101,Shazia Sohail,,IND,364
PS-101,Dilawer Jackson,,IND,297
PS-101,Farah Akhtar Siddiqui,,IND,219
PS-101,Muhammad Nasir Yousuf,,IND,182
PS-101,Muhammad Raheel,Eagle (93),IPP,164
PS-101,Ghulam Muhammad,,IND,157
PS-101,Syed Shah Yousuf Imam,,IND,146
PS-101,Malik Imtiaz,,PNP,120
PS-101,Jahanzaib Alam,,IND,100
PS-101,Syed Muhammad Hussain,,IND,99
PS-101,Syed Ahmed Sohail,,IND,96
PS-101,Tariq Ahmed,,IND,92
PS-101,Rao Muhammad Irfan,,IND,85
PS-101,Tabassum Farid,Candle (50),MQM,74
PS-101,Muhammad kashif Ghouri,,IND,73
PS-101,Nisar Ahmed,,IND,72
PS-101,Abdul Salam,,JUI-NP,71
PS-101,Syed Akbar,,IND,71
PS-101,Sajjad Ali,,IND,60
PS-101,Shahid Kath,,IND,60
PS-101,Ch. Muhammad Javed Ishaq,,IND,57
PS-101,Muhammad Farhan,,IND,57
PS-101,Manzar Ul Haq Thanvi,Star (259),GDA,50
PS-101,Jahanzaib Sardar Ali,T-SHIRT ٹی شرٹ,IND-PTI,45
PS-101,Zubair Akram,,IND,34
PS-101,Muhammad Azhar Alam,,IND,33
PS-101,Asma Nadeem,,IND,27
PS-101,Khurram Noorani,,IND,26
PS-101,Nadir Latif Khilji,,IND,17
PS-101,Ali Tahir,,IND,8
PS-101,Nazra Bano,,IND,5
PS-101,M. Ashraf Jabbar,,IND,1
PS-101,Zahid Anwar,,IND,1
PS-101,Muhammad Arif,Lantern (162),ANP,1
PS-102,Muhammad Aamir Siddiqui,Kite (159),MQM-P,25330
PS-102,Muhammad Najeed Ayubi,Scale (232),JIP,19512
PS-102,Jamal Uddin Siddiqui,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,18720
PS-102,Aqraba Fatima,Arrow (12),PPP,11526
PS-102,Muhammad Hussain,Crane (71),TLP,5945
PS-102,Muhammad Khalid,,IND,3081
PS-102,Syed Nisar Shah,Tiger (284),PML-N,1345
PS-102,Asghar Hussain Manekia,Tent (282),MWM,579
PS-102,Muhammad Arif,Tent (282),MML,279
PS-102,Muhammad Nasir Akbani,,IND,226
PS-102,Hafiz Muhammad Sharyar Khan,,IND,201
PS-102,Syed Rasheed Ahmed,,IND,153
PS-102,Farhan Gulab Khan,,IND,150
PS-102,Umaid Ali Junejo,Eagle (93),IPP,118
PS-102,Sami Ullah,Lantern (162),ANP,112
PS-102,Muhammad Ayaz Qureshi,,IND,111
PS-102,Muhammad Ihtisham,,IND,110
PS-102,Adeel Azam,,IND,108
PS-102,Musarrat Jabeen,,IND,108
PS-102,Muhammad Shahwaiz Khan,,PNP,70
PS-102,Irfan Khetani,,IND,58
PS-102,Altaf,,IND,53
PS-102,Shafaq Khalil,Candle (50),MQM,36
PS-102,Syed Arshad Hasan,,IND,33
PS-102,Ali Ahmed Rafiq Surmawala,,IND,23
PS-102,Muhammad Zahid,,IND,18
PS-102,Muhammad Sajid,,IND,16
PS-102,Muhammad Tariq Mansoor,,IND,16
PS-103,Faisal Rafiq,Kite (159),MQM-P,15870
PS-103,Muhammad Yunus,Scale (232),JIP,12345
PS-103,Ali Ahmed Palh,TABLE TENNIS BAT ٹیبل ٹینس کا بیٹ,IND-PTI,9778
PS-103,Muhammad Bilal Raza,Crane (71),TLP,5685
PS-103,Thakur Zulfiqar Ali Kaim Khani,Arrow (12),PPP,3441
PS-103,Noor Ahmed Khan,,IND,2010
PS-103,Asghar Hussain Manekia,,IND,1754
PS-103,Syed Muhammad Danish,,IND,957
PS-103,Muhammad Noman Khan,,IND,931
PS-103,Muhammad Adnan,Candle (50),MQM,745
PS-103,Muazzama Arjumand,Tiger (284),PML-N,642
PS-103,Asif Azam,,IND,310
PS-103,Shoaib,,IND,306
PS-103,Ambreen Malik,,IND,183
PS-103,Muhammad Imran,,IND,83
PS-103,Muhammad Khalid,Tent (282),MML,74
PS-103,Syed Arshad Hasan,,IND,73
PS-103,Waqar Ahmed,,IND,73
PS-103,Rizwan Khan,Eagle (93),IPP,71
PS-103,Nisar Ahmed,,IND,69
PS-103,Syed Akif Uddin,,IND,69
PS-103,Syed Shamim Haider,,IND,67
PS-103,Muhammad Ali Aziz,,IND,66
PS-103,Rafaqat,,IND,57
PS-103,Muhammad Naseem,,IND,52
PS-103,Noman Ali,,IND,49
PS-103,Muhammad Shoaib,,IND,48
PS-103,Muhammad Imran,,IND,44
PS-103,Hafiz Muhammad Sharyar Khan,,IND,37
PS-103,Jamal Uddin,,IND,31
PS-103,Muhammad Mursaleen,,IND,27
PS-103,Noman Hameed,,IND,16
PS-104,Muhammad Daniyal,Kite (159),MQM-P,30465
PS-104,Muhammad Junaid Mukati,Scale (232),JIP,23588
PS-104,Amjad Asif Jah,LAPTOP لیپ ٹاپ,IND-PTI,8488
PS-104,Muhammad Akram,Arrow (12),PPP,4922
PS-104,Amjad Ali Asif,Tiger (284),PML-N,2652
PS-104,Abdul Sattar,Crane (71),TLP,2288
PS-104,Farhat Ullah Khan,,IND,969
PS-104,Hafiz Ghulam Mustafa,,IND,763
PS-104,Mustaqeem Ahmed Siddiqi Qadri,,IND,315
PS-104,Abdul Sattar,Eagle (93),IPP,202
PS-104,Muhammad Yousuf,,IND,131
PS-104,Muhammad Sohaib,,IND,127
PS-104,Muhammad Umer Khan,Tent (282),MML,83
PS-104,Rana Tanzeel Ur Rehman,,IND,78
PS-104,Syed Matloob Hussain Shah Kazmi,,IND,67
PS-104,Ali Ahmed Palh,,IND,63
PS-104,Liaquat Hussain Khan,,IND,56
PS-104,Abdul Qadir,,IND,53
PS-104,Aurangzeb Kashif Ali,,IND,51
PS-104,Muhammad Sohail Tariq,,IND,50
PS-104,Muhammad Tariq Mansoor,,IND,49
PS-104,Syeda Sara Kanwal Shahid,,IND,48
PS-104,Muhammad Tasneem,Candle (50),MQM,42
PS-104,Ali Ahmed Rafiq Surmawala,,IND,41
PS-104,Sohaib Azhar Butt,,IND,41
PS-104,Syed Mohsin Razi,,IND,24
PS-104,Naufil Shah Daud,,IND,17
PS-104,Uzair Hanif,,IND,17
PS-104,Wali Muhammad Abbasi,,IND,13
PS-104,Musarat Shah,,IND,11
PS-105,Saeed Ghani,Arrow (12),PPP,26168
PS-105,Irfanullah Khan Marwat,Star (259),GDA,20111
PS-105,Hanif Khan,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,11277
PS-105,Khalid Mehmood,Crane (71),TLP,3227
PS-105,Shamim Begum,Tiger (284),PML-N,2076
PS-105,Muhammad Mohsin,,IND,923
PS-105,Israr Ahmed Abbasi,,IND,293
PS-105,Syed Usama Akhtar,Tent (282),MML,217
PS-105,Muhammad Muslim Mujahid,,IND,181
PS-105,Muhammad Hanif Khan,,IND,154
PS-105,Ilyas Ahmed Awan,,IND,102
PS-105,Muhammad Zeeshan,,IND,90
PS-105,Abdullah Khan,,IND,79
PS-105,Danish Zafar,Candle (50),MQM,73
PS-105,Farhan Ghani,,IND,65
PS-105,Rehmatullah,,IND,62
PS-105,Muhammad Irfan,,IND,47
PS-105,Muhammad Akber Shaikh,,IND,46
PS-105,Syed Arshad Hassan,,IND,45
PS-105,Muhammad Javed,,IND,42
PS-105,Muhammad Tariq,,IND,42
PS-105,Muhammad Fareed,,IND,40
PS-105,Shaikh Khalid Sultan,,IND,39
PS-105,Rustam Khan Khattak,,IND,33
PS-105,Qamar Ahmed Khan,,IND,31
PS-105,Tanveer Ahmed,,IND,31
PS-105,Amir Jameel,,IND,29
PS-105,Hafiz Ghulam Mustafa,,IND,29
PS-105,Mohammad Akhtar Ghori,,IND,29
PS-105,Muhammad Riaz,,IND,29
PS-105,Hamid Hussain,,IND,15
PS-105,Muhammad Shahzad,,IND,13
PS-106,Sajjad Ali,Dhol ڈھول,IND-PTI,20658
PS-106,Usman Ghani,Arrow (12),PPP,16854
PS-106,Syed Abdul Rasheed,Scale (232),JIP,15873
PS-106,Muhammad Shakeel,Crane (71),TLP,12524
PS-106,Nasir Mahmood,Book (31),JUIF,5090
PS-106,Adam Ishaque Sanghaar,,IND,649
PS-106,Muhammad Iqbal,,IND,632
PS-106,Mian Khail,,SKQM,255
PS-106,Muhammad Imran,Tent (282),MML,138
PS-106,Javed Akhtar,,IND,125
PS-106,Noor Muhammad,,IND,99
PS-106,Maula bukhsh Soomro,,IND,98
PS-106,Gul Saeed Bizanjo,,IND,84
PS-106,Prem Ji,,IND,68
PS-106,Taj Uddin Siddique,,IND,59
PS-106,Muhammad Zameen,Lantern (162),ANP,40
PS-106,Afshan,,IND,32
PS-106,Shakir Altaf,,IND,24
PS-106,Almas Azam,Star (259),GDA,21
PS-107,Muhammad Yousuf,Arrow (12),PPP,26902
PS-107,Khalid,Dhol ڈھول,IND-PTI,19673
PS-107,Mehmood Essa,Scale (232),JIP,13820
PS-107,Tanveer Ahmed Khan,Tiger (284),PML-N,4871
PS-107,Syed Ali Usama Qadri,Crane (71),TLP,3513
PS-107,Ahmed,,IND,625
PS-107,Muhammad Zahoor,,IND,504
PS-107,Abdullah Dasti,,IND,240
PS-107,Muhammad,Tent (282),MML,225
PS-107,Junaid Ahmed,,IND,130
PS-107,Ghulam Hussain Kurd,,IND,123
PS-107,Irfanullah Khan Niazi,,IND,116
PS-107,Prem Ji,,IND,88
PS-107,Nadir Gabool,,IND,72
PS-107,Muhammad Ameen,,IND,49
PS-107,Muhammad Saleem,,IND,44
PS-107,Huma Bano,Star (259),GDA,42
PS-107,Peer Bux,,IND,39
PS-107,Shahid Ali,,IND,36
PS-107,Saleh Muhammad,,IND,30
PS-107,Asif Yousuf,,IND,27
PS-107,Wahab Ahmed Hashmi,,IND,17
PS-108,Muhammad Dilawar,Kite (159),MQM-P,20014
PS-108,Murad Sheikh,Dhol ڈھول,IND-PTI,16850
PS-108,Ibrat,Scale (232),JIP,14438
PS-108,Sultan Ahmed,Crane (71),TLP,9457
PS-108,Muhammad Fayyaz Pirzada,Arrow (12),PPP,9438
PS-108,Muhammad Tahseen,,IND,1232
PS-108,Shehroz,,IND,1156
PS-108,Raghib Bashir,,IND,835
PS-108,Muhammad Noman,Tent (282),MML,601
PS-108,Irfan Ullah Khan Niazi,,IND,428
PS-108,Shaneel,,IND,361
PS-108,Farhan Siddique,,IND,263
PS-108,Syed Muhammad Khurrum Shah,Star (259),GDA,261
PS-108,Waseem Khan,,IND,219
PS-108,Imran Parvani,Eagle (93),IPP,204
PS-108,Kausar Saba,,IND,144
PS-108,Ghulam Hussain Kurd,,IND,132
PS-108,Aloo Mal,Tractor (292),PML,100
PS-108,Muhammad Jamil,,IND,67
PS-108,Hafiz Muhammad Asim,,IND,66
PS-108,Tousiq Ali Hoti,,IND,63
PS-108,Asif Rais,,IND,60
PS-108,Muhammad Hasaam,,IND,59
PS-108,Uzma Shameem,,IND,40
